vano;mes;hom_doloso;lesao_corp_morte;latrocinio;hom_por_interv_policial;letalidade_violenta;tentat_hom;lesao_corp_dolosa;estupro;hom_culposo;lesao_corp_culposa;roubo_comercio;roubo_residencia;roubo_veiculo;roubo_carga;roubo_transeunte;roubo_em_coletivo;roubo_banco;roubo_cx_eletronico;roubo_celular;roubo_conducao_saque;roubo_apos_saque;roubo_bicicleta;outros_roubos;total_roubos;furto_veiculos;furto_transeunte;furto_coletivo;furto_celular;furto_bicicleta;outros_furtos;total_furtos;sequestro;extorsao;sequestro_relampago;estelionato;apreensao_drogas;posse_drogas;trafico_drogas;apreensao_drogas_sem_autor;recuperacao_veiculos;apf;aaapai;cmp;cmba;ameaca;pessoas_desaparecidas;encontro_cadaver;encontro_ossada;pol_militares_mortos_serv;pol_civis_mortos_serv;indicador_cvli;indicador_roubo_rua;indicador_roubo_veic;indicador_roubo_carga;registro_ocorrencias;fase
2003;1;6;1;0;0;7;12;200;7;3;65;10;9;52;10;14;19;0;0;20;0;3; ;35;172;18;8;2;7; ;79;114;0;2;0;8;9; ; ; ;54; ; ; ; ;181;9;3;0;0;0;7;53;52;10;830;3
2003;1;8;0;2;0;10;0;98;0;2;46;6;0;62;10;35;4;0;0;17;0;2; ;46;182;24;4;0;4; ;53;85;0;0;0;14;11; ; ; ;32; ; ; ; ;86;5;6;0;0;0;10;56;62;10;590;3
2003;1;14;0;0;15;29;14;119;11;3;43;14;4;93;14;41;13;0;0;23;0;2; ;78;282;50;14;1;9; ;92;166;0;0;0;11;38; ; ; ;96; ; ; ; ;71;12;5;0;1;1;14;77;93;14;908;3
2003;1;32;0;1;0;33;4;257;14;4;122;16;4;93;10;54;26;0;0;25;1;4; ;64;297;54;36;1;31; ;201;323;0;2;0;30;9; ; ; ;62; ; ; ; ;208;27;12;0;0;0;33;105;93;10;1444;3
2003;1;22;0;1;3;26;8;156;4;3;52;9;2;26;7;11;13;0;0;10;1;4; ;18;101;10;6;1;8; ;80;105;0;0;0;7;20; ; ; ;23; ; ; ; ;128;11;7;1;0;0;23;34;26;7;656;3
2003;1;3;0;0;2;5;10;90;3;1;54;11;1;82;10;19;10;0;0;19;0;3; ;54;209;14;5;0;15; ;112;146;0;1;0;24;16; ; ; ;68; ; ; ; ;84;7;9;0;0;0;3;48;82;10;745;3
2003;1;1;0;0;1;2;3;65;1;1;26;13;2;142;14;8;6;0;0;8;0;4; ;94;291;38;3;0;0; ;65;106;0;0;0;9;11; ; ; ;90; ; ; ; ;33;6;2;0;0;0;1;22;142;14;552;3
2003;1;20;1;1;5;27;12;94;3;1;36;17;5;135;16;34;12;0;0;33;0;2; ;100;354;23;7;1;4; ;40;75;0;0;0;4;11; ; ; ;92; ; ; ; ;69;8;0;0;1;0;22;79;135;16;738;3
2003;1;7;1;1;3;12;9;56;3;1;27;8;1;70;8;13;8;0;0;14;1;4; ;40;167;14;3;0;3; ;28;48;0;0;0;6;2; ; ; ;89; ; ; ; ;28;4;2;0;0;0;9;35;70;8;419;3
2003;1;4;0;0;2;6;4;51;3;1;44;6;2;56;2;14;4;0;0;8;0;6; ;32;130;26;4;0;4; ;86;120;0;0;0;16;4; ; ; ;32; ; ; ; ;49;7;1;0;0;0;4;26;56;2;473;3
